major,AVG(f.cgpa),AVG(f.top_student_anxiety),AVG(f.top_student_depression),AVG(f.top_student_isolation),avg_anxiety,avg_depression,avg_isolation
"Computer Science",3.75,3.08666666666667,3.07333333333333,3.22,3.09902912621359,3.05825242718447,3.32038834951456
"Data Science",3.75,3.39252336448598,2.99065420560748,3.4392523364486,3.3371104815864,3.05665722379603,3.328611898017
"Information Technology",3.75,3.44,3.04,3.52,3.2183908045977,3.10344827586207,3.3448275862069
"Software Engineering",3.75,3.35714285714286,3.35714285714286,3.71428571428571,3.22222222222222,3.0,3.26666666666667
